Disposal_ID,Book_ID,Employee_ID,Disposal_Method,Material_of_Book,Date
3801089,97908,1002,Incineration,Paper,2023-11-21
8126470,54128,1013,Incineration,Metal,2023-04-13
4194311,78020,1013,Repurposing,Metal,2025-01-07
9961493,65679,1008,Repurposing,Leather,2025-01-15
1703973,77183,1013,Recycling,Leather,2023-08-16
3932200,25054,1005,Recycling,Paper,2023-01-18
6815786,90075,1008,Donation,Metal,2023-08-15
2883637,88724,1002,Incineration,Metal,2024-11-19
8912953,97781,1008,Donation,Paper,2024-06-02
6160442,53691,1014,Donation,Leather,2024-01-05
3407933,50639,1013,Shredding,Synthetic,2023-03-23
1835070,63199,1002,Repurposing,Leather,2024-12-21
4718656,62486,1019,Repurposing,Paper,2024-01-08
7077955,16401,1014,Recycling,Paper,2023-04-01
3801165,85409,1023,Donation,Paper,2024-07-02
3014738,65159,1005,Incineration,Metal,2024-01-30
1966169,81779,1013,Repurposing,Leather,2023-10-01
8388698,25332,1028,Donation,Paper,2024-03-20
3407964,44677,1013,Shredding,Leather,2024-11-17
6946909,42201,1013,Shredding,Metal,2023-05-03
8912990,83660,1019,Burial,Synthetic,2024-06-07
7471204,88188,1013,Recycling,Paper,2024-09-28
7733351,95985,1028,Incineration,Metal,2023-11-09
5767282,42996,1013,Incineration,Leather,2023-05-07
2883700,23373,1023,Repurposing,Paper,2023-04-14
5636214,89559,1002,Recycling,Leather,2024-04-01
3932294,54817,1005,Donation,Metal,2024-08-22
7078023,77653,1002,Recycling,Synthetic,2024-04-12
2097290,34406,1023,Recycling,Synthetic,2024-09-22
1310866,18593,1014,Donation,Synthetic,2024-05-16
5243030,66688,1005,Incineration,Leather,2024-03-15
7209111,99454,1024,Burial,Metal,2023-11-28
2228377,42337,1028,Incineration,Metal,2024-02-29
5243037,90228,1002,Repurposing,Metal,2024-09-02
5505182,13165,1002,Shredding,Paper,2025-01-14
8126622,21943,1024,Incineration,Metal,2024-01-26
