ID,Rarity_Level
0,Very Rare
1,Legendary
2,Rare
3,Rare
4,Rare
5,Common
6,Legendary
7,Legendary
8,Legendary
9,Legendary
10,Common
11,Rare
12,Very Rare
13,Rare
14,Legendary
15,Very Rare
16,Very Rare
17,Legendary
18,Common
19,Rare
20,Legendary
21,Legendary
22,Rare
23,Legendary
24,Common
25,Common
26,Rare
27,Very Rare
28,Legendary
29,Legendary
30,Rare
31,Rare
32,Common
33,Common
34,Very Rare
35,Common
36,Rare
37,Very Rare
38,Very Rare
39,Common
40,Rare
41,Legendary
42,Legendary
43,Very Rare
44,Legendary
45,Very Rare
46,Legendary
47,Common
48,Very Rare
49,Very Rare
50,Legendary
51,Very Rare
52,Common
53,Very Rare
54,Common
55,Very Rare
56,Very Rare
57,Very Rare
58,Common
59,Rare
60,Legendary
61,Common
62,Very Rare
63,Common
64,Very Rare
65,Legendary
66,Common
67,Rare
68,Rare
69,Very Rare
70,Legendary
71,Legendary
72,Common
73,Legendary
74,Common
75,Common
76,Very Rare
77,Rare
78,Legendary
79,Very Rare
80,Legendary
81,Rare
82,Common
83,Rare
84,Common
85,Rare
86,Common
87,Common
88,Rare
89,Very Rare
90,Common
91,Common
92,Common
93,Very Rare
94,Legendary
95,Very Rare
96,Legendary
97,Legendary
98,Very Rare
99,Legendary
100,Very Rare
101,Rare
102,Common
103,Rare
104,Very Rare
105,Common
106,Legendary
107,Very Rare
108,Legendary
109,Rare
110,Common
111,Very Rare
112,Legendary
113,Very Rare
114,Very Rare
115,Legendary
116,Rare
117,Legendary
118,Very Rare
119,Very Rare
120,Very Rare
121,Rare
122,Rare
123,Rare
124,Common
125,Legendary
126,Very Rare
127,Common
128,Rare
129,Very Rare
130,Rare
131,Rare
132,Rare
133,Rare
134,Common
135,Legendary
136,Common
137,Common
138,Legendary
139,Common
140,Common
141,Legendary
142,Common
143,Common
144,Legendary
145,Common
146,Legendary
147,Very Rare
148,Common
149,Common
150,Very Rare
151,Common
152,Common
153,Legendary
154,Common
155,Very Rare
156,Legendary
157,Very Rare
158,Very Rare
159,Rare
160,Very Rare
161,Legendary
162,Legendary
163,Common
164,Rare
165,Rare
166,Rare
167,Common
168,Rare
169,Legendary
170,Very Rare
171,Very Rare
172,Rare
