Upkeep_ID,Book_ID,Employee_ID,Tools_Used,Reason_for_Upkeep,Date
37355520,66144,1026,Tweezers,Dust accumulation,2024-04-27
22020098,82700,1003,Glue,Dust accumulation,2023-07-17
27525123,92498,1016,Scalpel,Insect damage,2024-10-19
39190536,62841,1030,Tweezers,Aging and brittleness,2025-01-02
57933834,59099,1026,Tweezers,Cover damage,2023-11-13
20447246,83523,1025,Tweezers,Mold growth,2023-04-10
37879831,14965,1016,Scissors,Loose binding,2024-04-18
90701847,74970,1030,Glue,Loose binding,2023-03-09
32899097,60230,1030,Binding Tape,Mold growth,2023-10-28
55312412,24513,1030,Brush,Loose binding,2023-04-13
96862236,55026,1018,Brush,Dust accumulation,2023-03-03
75759647,81245,1012,Scalpel,Loose binding,2024-08-05
21364773,79896,1026,Binding Tape,Insect damage,2024-10-12
77463590,32928,1025,Glue,Insect damage,2025-01-11
39583781,14376,1025,Glue,Loose binding,2023-08-14
79560755,76576,1030,Clamps,Insect damage,2024-06-02
86769716,42782,1030,Brush,Faded text,2025-01-01
98959414,12136,1026,Tweezers,Water damage,2024-05-18
30146614,62401,1020,Scissors,Aging and brittleness,2024-01-08
32768056,77473,1003,Glue,Cover damage,2024-02-11
82575423,25232,1016,Brush,Torn pages,2024-07-15
56754240,67346,1020,Tweezers,Mold growth,2024-09-06
79953992,32982,1003,Brush,Cover damage,2024-08-28
75366473,30937,1003,Clamps,Aging and brittleness,2023-12-29
20709451,84894,1018,Glue,Water damage,2024-03-31
67502156,44236,1003,Brush,Insect damage,2023-08-13
79691854,42068,1026,Glue,Loose binding,2024-09-16
60948562,47669,1012,Clamps,Loose binding,2025-01-03
58064979,98993,1020,Binding Tape,Loose binding,2024-02-21
38142043,95547,1030,Scissors,Aging and brittleness,2023-11-06
56885343,89687,1030,Brush,Loose binding,2023-11-03
43516005,17720,1025,Binding Tape,Mold growth,2023-03-30
57540713,43623,1020,Tweezers,Cover damage,2023-02-23
37355628,2188,1012,Scalpel,Mold growth,2023-09-24
60555374,735,1030,Clamps,Mold growth,2023-04-15
42860654,49339,1012,Glue,Torn pages,2023-04-23
47054964,33396,1025,Scissors,Loose binding,2024-12-10
27918454,5255,1012,Brush,Insect damage,2024-06-21
82968694,75259,1012,Scalpel,Water damage,2024-02-27
52691065,22368,1030,Clamps,Mold growth,2024-09-02
75890811,9675,1025,Scalpel,Cover damage,2023-10-02
73924731,28071,1016,Glue,Faded text,2023-08-05
45219965,56638,1012,Scalpel,Aging and brittleness,2023-02-25
68943995,76565,1012,Brush,Faded text,2024-02-08
55705727,9263,1020,Scalpel,Faded text,2024-09-22
83492995,21308,1006,Brush,Dust accumulation,2024-06-05
48627848,96745,1018,Scalpel,Faded text,2024-05-12
10092680,6137,1012,Tweezers,Torn pages,2024-05-30
94240908,57556,1026,Tweezers,Torn pages,2023-02-22
56361102,48481,1016,Scissors,Staining,2025-01-04
94109843,8957,1016,Clamps,Dust accumulation,2023-05-28
28835994,30059,1020,Tweezers,Water damage,2024-06-17
15204506,12168,1018,Brush,Torn pages,2024-12-21
17039515,46636,1012,Brush,Loose binding,2025-01-14
93061277,93540,1003,Binding Tape,Staining,2024-08-28
81920165,27918,1012,Scissors,Dust accumulation,2023-12-18
24510635,11898,1012,Glue,Mold growth,2024-07-07
35127469,42240,1020,Binding Tape,Loose binding,2024-12-14
61604015,83604,1020,Tweezers,Aging and brittleness,2023-12-02
88342704,72146,1012,Binding Tape,Loose binding,2023-06-30
94109877,16350,1016,Clamps,Staining,2023-09-01
12714166,63171,1012,Brush,Insect damage,2024-05-20
39714999,82270,1006,Tweezers,Dust accumulation,2023-08-18
26083512,72870,1003,Scissors,Dust accumulation,2024-06-09
55181496,15633,1012,Brush,Mold growth,2024-02-05
49414336,16953,1025,Clamps,Torn pages,2024-05-17
34734275,33423,1030,Glue,Cover damage,2024-11-17
16646342,89917,1012,Scissors,Cover damage,2024-04-19
24641738,15474,1026,Tweezers,Loose binding,2023-09-19
99352778,43351,1006,Scissors,Faded text,2023-04-11
