Disposal_ID,Book_ID,Employee_ID,Disposal_Method,Material_of_Book,Date
9699344,5979947096,1013,Incineration,Paper,2023-09-03
1310737,4879598178,1005,Incineration,Metal,2023-08-08
8650776,6938116294,1023,Recycling,Paper,2023-04-09
9437209,1102506450,1023,Shredding,Synthetic,2022-12-07
6946846,9983444537,1019,Shredding,Metal,2023-04-14
4325410,9916568967,1002,Shredding,Leather,2024-11-03
3670052,9597055326,1013,Donation,Paper,2024-06-29
7864388,2694011336,1024,Repurposing,Synthetic,2023-11-01
8650822,1400678380,1023,Repurposing,Leather,2024-04-06
3932243,8067669790,1028,Incineration,Metal,2024-03-13
3801174,8628327593,1028,Repurposing,Leather,2024-01-10
3145817,4302040419,1002,Burial,Synthetic,2024-02-11
9961561,6001602781,1008,Repurposing,Synthetic,2024-09-18
1572960,2515200339,1019,Burial,Synthetic,2022-12-31
8257633,1398952882,1014,Burial,Leather,2024-07-08
4456549,6275686406,1013,Repurposing,Paper,2023-09-21
2490473,3334747669,1019,Burial,Leather,2024-09-16
1835114,8393955641,1019,Incineration,Metal,2024-06-01
5767280,5019685587,1014,Shredding,Metal,2023-01-10
8519799,1958872964,1028,Donation,Metal,2024-11-07
7471224,5020363431,1019,Burial,Leather,2024-11-19
9699448,1041411044,1019,Burial,Leather,2024-09-26
3801218,2052608592,1002,Repurposing,Metal,2024-07-15
6029457,6835713011,1014,Donation,Paper,2022-12-04
8913048,5065634960,1023,Burial,Leather,2023-09-01
9961636,2884312234,1023,Burial,Synthetic,2023-05-12
5898420,4539445597,1005,Repurposing,Leather,2023-04-05
7602373,7502292435,1023,Recycling,Metal,2023-04-02
6160583,1959845384,1024,Shredding,Paper,2024-04-01
4325589,6146893625,1028,Burial,Leather,2023-02-07
7733462,9826369127,1008,Shredding,Metal,2024-08-07
8913121,9174521247,1008,Incineration,Metal,2023-05-19
9175271,3407555674,1028,Burial,Synthetic,2024-09-08
1704169,8563410567,1002,Recycling,Paper,2024-01-10
8913137,7813035008,1028,Recycling,Synthetic,2023-10-16
9961720,4005467928,1013,Incineration,Paper,2023-04-23
8913149,8264231966,1014,Donation,Leather,2023-10-21
1179902,8987345013,1014,Shredding,Metal,2024-05-30
9830660,2915320418,1019,Donation,Leather,2024-01-07
4194566,1408303175,1014,Incineration,Leather,2023-02-19
7995668,2634601312,1005,Repurposing,Synthetic,2024-07-20
5767457,8440140549,1014,Donation,Synthetic,2023-07-12
2359588,7714720242,1014,Shredding,Leather,2024-10-04
3014957,8772522100,1005,Repurposing,Leather,2023-04-05
1179955,8636489183,1008,Burial,Synthetic,2023-02-20
3277107,1042786972,1024,Donation,Metal,2023-11-16
5898558,9407445024,1008,Burial,Paper,2024-04-19
4456769,9168431510,1014,Repurposing,Leather,2023-10-20
5636418,1989479163,1019,Recycling,Synthetic,2023-09-19
8257874,2761937414,1005,Donation,Paper,2023-12-27
4718934,7015128569,1008,Incineration,Synthetic,2023-03-27
4981096,6709548002,1013,Burial,Paper,2023-11-20
6422892,1209716495,1013,Shredding,Paper,2024-11-17
4063600,4125050621,1002,Repurposing,Paper,2023-12-10
4194675,2295295972,1002,Burial,Synthetic,2023-10-26
2359670,9561795046,1014,Incineration,Synthetic,2023-09-16
7078264,3688426247,1013,Donation,Leather,2023-03-13
2490744,5981164477,1013,Burial,Leather,2024-09-11
8651133,1011377627,1008,Repurposing,Leather,2024-11-03
3146112,3829322838,1028,Recycling,Paper,2023-08-29
8782208,3156930285,1023,Donation,Metal,2024-06-12
4850053,7183591122,1008,Repurposing,Synthetic,2023-10-13
7340429,8402916537,1005,Incineration,Synthetic,2023-07-17
1704350,6936897419,1005,Recycling,Synthetic,2023-11-02
9437599,6465361374,1014,Incineration,Leather,2023-05-25
3015074,7618423764,1002,Recycling,Synthetic,2023-08-06
3932578,3958351735,1005,Repurposing,Synthetic,2024-08-08
4194724,8658212517,1013,Incineration,Metal,2024-09-26
1048996,7042691497,1013,Burial,Metal,2024-02-20
5636519,7537424778,1002,Recycling,Paper,2024-05-31
1573292,9748451858,1023,Donation,Synthetic,2023-01-24
8651183,7177207372,1013,Repurposing,Metal,2024-08-05
4981182,5938962851,1005,Donation,Metal,2023-09-20
7995840,8044314072,1024,Shredding,Metal,2024-03-06
4981185,6259000569,1019,Burial,Paper,2023-01-02
3146179,9801751072,1002,Shredding,Leather,2022-12-22
7209425,3978581419,1002,Shredding,Synthetic,2023-09-10
7995863,2863041027,1002,Repurposing,Leather,2024-05-25
4719064,7104136260,1008,Incineration,Metal,2024-08-29
7340518,3447047757,1019,Repurposing,Synthetic,2024-10-23
6029799,2501793870,1005,Incineration,Paper,2023-06-24
1442280,2799139799,1005,Incineration,Metal,2024-10-17
9830898,1121368048,1002,Repurposing,Paper,2023-07-01
4588022,5391569743,1008,Incineration,Leather,2023-11-15
1704452,2879010042,1008,Donation,Metal,2024-01-01
7471627,7108358827,1023,Incineration,Paper,2024-04-19
8258065,5703782655,1005,Shredding,Paper,2022-12-02
1704472,5304712355,1005,Shredding,Leather,2023-08-05
4850208,4065591956,1019,Donation,Metal,2023-04-12
1442352,1355926119,1024,Donation,Paper,2023-06-27
1573432,6460673314,1024,Incineration,Paper,2024-11-11
8389191,5288395826,1013,Donation,Synthetic,2023-12-14
3670610,7216506954,1013,Burial,Paper,2023-09-25
3539545,7620645961,1014,Donation,Paper,2023-03-09
5243489,4035180058,1019,Shredding,Leather,2024-06-02
7340642,9607730048,1028,Shredding,Leather,2023-07-25
9831014,3753054939,1024,Burial,Synthetic,2023-01-29
3146349,4530484101,1008,Shredding,Synthetic,2024-01-23
6292078,6220394411,1014,Incineration,Synthetic,2024-01-20
1966711,3492360899,1002,Incineration,Metal,2024-08-11
9175685,1349445914,1019,Repurposing,Paper,2024-01-03
6029975,5126482418,1019,Burial,Metal,2023-05-20
1180312,7751458377,1005,Donation,Synthetic,2023-07-06
1442460,2535596623,1014,Repurposing,Synthetic,2024-03-27
2097821,4628671081,1008,Donation,Synthetic,2023-04-18
4194979,7055619455,1008,Recycling,Paper,2023-09-29
