Upkeep_ID,Book_ID,Employee_ID,Tools_Used,Reason_for_Upkeep,Date
86638602,2094778661,1012,Scissors,Water damage,2024-08-14
75497482,5225221167,1025,Glue,Insect damage,2024-06-04
30015504,9838283608,1016,Binding Tape,Faded text,2023-06-20
82444310,7048416862,1018,Glue,Dust accumulation,2023-02-25
72876056,3969393247,1006,Scalpel,Dust accumulation,2024-03-04
17956889,1561346570,1006,Tweezers,Mold growth,2024-10-12
31064090,7168499509,1030,Scissors,Staining,2023-07-07
17563676,8327373880,1020,Clamps,Staining,2023-10-24
76939294,2489215863,1018,Glue,Cover damage,2022-12-27
39452703,7522669141,1016,Glue,Dust accumulation,2024-01-05
91881512,9937847615,1018,Binding Tape,Insect damage,2024-10-27
32636974,5003821844,1025,Glue,Staining,2023-06-17
30933046,7284046830,1020,Scissors,Water damage,2023-12-23
60424253,2797351100,1030,Tweezers,Faded text,2023-11-04
62128191,8499438975,1025,Scissors,Dust accumulation,2023-08-08
99090496,4750473084,1003,Scalpel,Dust accumulation,2023-07-27
46923841,3974065072,1025,Brush,Torn pages,2023-01-09
82706498,3609946688,1003,Tweezers,Loose binding,2023-06-23
71172163,6289100767,1025,Clamps,Mold growth,2024-02-04
79036484,1933289382,1030,Scalpel,Faded text,2023-11-22
72089667,8206638932,1006,Tweezers,Loose binding,2023-04-01
11665481,8779271155,1006,Glue,Aging and brittleness,2024-06-16
69599313,7176624943,1016,Scalpel,Cover damage,2023-12-10
45482066,3493561236,1018,Scissors,Mold growth,2024-07-11
76546136,9608013588,1018,Brush,Mold growth,2024-01-31
40108121,6052194236,1006,Binding Tape,Insect damage,2023-12-29
91226209,2226007428,1025,Tweezers,Aging and brittleness,2023-09-22
65667172,2057653188,1003,Glue,Staining,2024-08-06
83230826,5464265061,1012,Clamps,Aging and brittleness,2023-08-19
56754284,6177881981,1018,Scissors,Water damage,2023-09-29
33554541,8048464237,1025,Clamps,Staining,2024-11-19
40108143,1812650273,1020,Brush,Mold growth,2024-09-01
63307888,2411209454,1012,Brush,Dust accumulation,2022-12-05
62914675,4644111950,1018,Brush,Cover damage,2024-08-17
62652532,4691507219,1012,Binding Tape,Torn pages,2023-10-16
42205300,7925998577,1016,Brush,Staining,2024-10-15
81526904,5753513146,1030,Scissors,Faded text,2023-06-19
91619449,8529580641,1025,Scissors,Cover damage,2024-08-22
55050360,1268848527,1025,Scissors,Cover damage,2023-09-03
20185212,6487029620,1016,Brush,Mold growth,2024-09-10
52822142,5939932006,1006,Brush,Insect damage,2023-07-15
95944832,2243287728,1018,Clamps,Staining,2024-10-27
17825925,9543151475,1018,Clamps,Loose binding,2023-09-29
32505999,4870220797,1030,Clamps,Water damage,2024-02-23
26869905,2574555799,1025,Brush,Loose binding,2024-10-08
33816725,9520622817,1020,Glue,Torn pages,2023-03-28
17170588,5546548694,1003,Glue,Insect damage,2023-01-14
56492194,2951666861,1030,Scissors,Aging and brittleness,2024-05-29
58851490,1181390260,1026,Scissors,Faded text,2023-12-10
63176868,3315287547,1006,Scalpel,Cover damage,2024-07-23
18088099,1676804124,1003,Binding Tape,Torn pages,2023-01-30
21758118,9251064042,1012,Tweezers,Insect damage,2023-04-02
81789094,8623352579,1030,Glue,Staining,2024-07-09
49676457,1856106086,1012,Binding Tape,Loose binding,2023-09-18
54526122,7691103528,1003,Clamps,Staining,2024-06-05
53477548,1305120278,1016,Scissors,Insect damage,2022-12-08
58589356,4809853519,1006,Scissors,Mold growth,2023-12-21
38011057,8266704185,1025,Glue,Torn pages,2024-07-05
90833079,5266599685,1006,Brush,Mold growth,2023-01-27
27656377,1305684757,1012,Glue,Insect damage,2024-04-29
85590209,1191061345,1025,Clamps,Insect damage,2024-06-09
20971718,7011318423,1018,Scissors,Torn pages,2024-03-19
81658056,4062619241,1003,Tweezers,Insect damage,2023-08-30
81133770,6195104344,1003,Clamps,Faded text,2024-01-26
68288715,7211167251,1016,Brush,Faded text,2024-08-04
58065103,8117979985,1006,Scalpel,Insect damage,2023-08-17
65274064,4662580199,1020,Glue,Torn pages,2023-10-01
58065104,6104827883,1020,Glue,Faded text,2023-12-20
87425236,7911825501,1025,Binding Tape,Water damage,2023-09-02
57278678,5905427060,1016,Binding Tape,Torn pages,2023-01-02
46137559,3632610190,1026,Glue,Cover damage,2022-12-07
98042075,7240163770,1016,Glue,Staining,2023-12-08
